Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
RD-6	Extraction	methanol		RD-6	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-6	FILES/RAW_FILES/GCMS/RD-6.D	Data transformation	RD-6		Metabolite identification	RD-6	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-8	Extraction	methanol		RD-8	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-8	FILES/RAW_FILES/GCMS/RD-8.D	Data transformation	RD-8		Metabolite identification	RD-8	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-10	Extraction	methanol		RD-10	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-10	FILES/RAW_FILES/GCMS/RD-10.D	Data transformation	RD-10		Metabolite identification	RD-10	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-11	Extraction	methanol		RD-11	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-11	FILES/RAW_FILES/GCMS/RD-11.D	Data transformation	RD-11		Metabolite identification	RD-11	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-12	Extraction	methanol		RD-12	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-12	FILES/RAW_FILES/GCMS/RD-12.D	Data transformation	RD-12		Metabolite identification	RD-12	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-13	Extraction	methanol		RD-13	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-13	FILES/RAW_FILES/GCMS/RD-13.D	Data transformation	RD-13		Metabolite identification	RD-13	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-14	Extraction	methanol		RD-14	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-14	FILES/RAW_FILES/GCMS/RD-14.D	Data transformation	RD-14		Metabolite identification	RD-14	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-15	Extraction	methanol		RD-15	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-15	FILES/RAW_FILES/GCMS/RD-15.D	Data transformation	RD-15		Metabolite identification	RD-15	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-17	Extraction	methanol		RD-17	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-17	FILES/RAW_FILES/GCMS/RD-17.D	Data transformation	RD-17		Metabolite identification	RD-17	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-18	Extraction	methanol		RD-18	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-18	FILES/RAW_FILES/GCMS/RD-18.D	Data transformation	RD-18		Metabolite identification	RD-18	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RD-19	Extraction	methanol		RD-19	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RD-19	FILES/RAW_FILES/GCMS/RD-19.D	Data transformation	RD-19		Metabolite identification	RD-19	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-1	Extraction	methanol		RN-1	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-1	FILES/RAW_FILES/GCMS/RN-1.D	Data transformation	RN-1		Metabolite identification	RN-1	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-3	Extraction	methanol		RN-3	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-3	FILES/RAW_FILES/GCMS/RN-3.D	Data transformation	RN-3		Metabolite identification	RN-3	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-4	Extraction	methanol		RN-4	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-4	FILES/RAW_FILES/GCMS/RN-4.D	Data transformation	RN-4		Metabolite identification	RN-4	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-5	Extraction	methanol		RN-5	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-5	FILES/RAW_FILES/GCMS/RN-5.D	Data transformation	RN-5		Metabolite identification	RN-5	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-6	Extraction	methanol		RN-6	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-6	FILES/RAW_FILES/GCMS/RN-6.D	Data transformation	RN-6		Metabolite identification	RN-6	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-7	Extraction	methanol		RN-7	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-7	FILES/RAW_FILES/GCMS/RN-7.D	Data transformation	RN-7		Metabolite identification	RN-7	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-8	Extraction	methanol		RN-8	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-8	FILES/RAW_FILES/GCMS/RN-8.D	Data transformation	RN-8		Metabolite identification	RN-8	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-10	Extraction	methanol		RN-10	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-10	FILES/RAW_FILES/GCMS/RN-10.D	Data transformation	RN-10		Metabolite identification	RN-10	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-12	Extraction	methanol		RN-12	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-12	FILES/RAW_FILES/GCMS/RN-12.D	Data transformation	RN-12		Metabolite identification	RN-12	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-13	Extraction	methanol		RN-13	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-13	FILES/RAW_FILES/GCMS/RN-13.D	Data transformation	RN-13		Metabolite identification	RN-13	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-14	Extraction	methanol		RN-14	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-14	FILES/RAW_FILES/GCMS/RN-14.D	Data transformation	RN-14		Metabolite identification	RN-14	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-15	Extraction	methanol		RN-15	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-15	FILES/RAW_FILES/GCMS/RN-15.D	Data transformation	RN-15		Metabolite identification	RN-15	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-16	Extraction	methanol		RN-16	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-16	FILES/RAW_FILES/GCMS/RN-16.D	Data transformation	RN-16		Metabolite identification	RN-16	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-17	Extraction	methanol		RN-17	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-17	FILES/RAW_FILES/GCMS/RN-17.D	Data transformation	RN-17		Metabolite identification	RN-17	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-18	Extraction	methanol		RN-18	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-18	FILES/RAW_FILES/GCMS/RN-18.D	Data transformation	RN-18		Metabolite identification	RN-18	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-19	Extraction	methanol		RN-19	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-19	FILES/RAW_FILES/GCMS/RN-19.D	Data transformation	RN-19		Metabolite identification	RN-19	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-20	Extraction	methanol		RN-20	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-20	FILES/RAW_FILES/GCMS/RN-20.D	Data transformation	RN-20		Metabolite identification	RN-20	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
RN-21	Extraction	methanol		RN-21	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	RN-21	FILES/RAW_FILES/GCMS/RN-21.D	Data transformation	RN-21		Metabolite identification	RN-21	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
