Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
4/10/2024 14:26:54,EW,Exp Mol Med. 2020 Dec;52(12):2069-2079. doi: 10.1038/s12276-020-00543-1. Epub 2020 Dec 18.,33339953,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,STEMI but not HF,
5/20/2024 21:34:11,YiChan Lee,Exp Mol Med. 2020 Dec;52(12):2069-2079. doi: 10.1038/s12276-020-00543-1. Epub 2020 Dec 18.,33339953,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 14:18:22,EW,Trials. 2020 Dec 29;21(1):1032. doi: 10.1186/s13063-020-04973-0.,33375942,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 21:08:37,YiChan Lee,Trials. 2020 Dec 29;21(1):1032. doi: 10.1186/s13063-020-04973-0.,33375942,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 14:10:38,EW,Theranostics. 2021 Jan 1;11(1):222-256. doi: 10.7150/thno.49860. eCollection 2021.,33391472,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 18:27:49,YiChan Lee,Theranostics. 2021 Jan 1;11(1):222-256. doi: 10.7150/thno.49860. eCollection 2021.,33391472,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 14:16:31,EW,Cells. 2020 Dec 31;10(1):51. doi: 10.3390/cells10010051.,33396359,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 21:06:51,YiChan Lee,Cells. 2020 Dec 31;10(1):51. doi: 10.3390/cells10010051.,33396359,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 13:41:37,EW,Clin Sci (Lond). 2021 Jan 15;135(1):1-17. doi: 10.1042/CS20200482.,33399851,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 17:17:41,YiChan Lee,Clin Sci (Lond). 2021 Jan 15;135(1):1-17. doi: 10.1042/CS20200482.,33399851,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:16:02,EW,Diabetes Res Clin Pract. 2021 Mar;173:108670. doi: 10.1016/j.diabres.2021.108670. Epub 2021 Jan 14.,33453294,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",,,,,,,,,,,,,STEMI patients not heart failure ,
5/24/2024 14:56:39,Leise,Diabetes Res Clin Pract. 2021 Mar;173:108670. doi: 10.1016/j.diabres.2021.108670. Epub 2021 Jan 14.,33453294,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:03:53,EW,Am Heart J. 2021 Apr;234:71-80. doi: 10.1016/j.ahj.2021.01.006. Epub 2021 Jan 14.,33454370,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",acutre heart failure in hospital ,United Kingdom ,"Yes, measures untargetted metabolomics",developed liquid chromatography-tandem mass spectrometry ,Plasma,No,,No,"no data availability statement, might be part of a larger cohort study and dat availability statement might be elsewhere ",,,,,,,,
5/24/2024 14:44:33,Leise,Am Heart J. 2021 Apr;234:71-80. doi: 10.1016/j.ahj.2021.01.006. Epub 2021 Jan 14.,33454370,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","Diagnosis of acute HF was made according to clinical signs and symptoms, following European Society of Cardiology (ESC) guidelines.",UK,"Yes, measures untargeted metabolomics","UPLC–MS/MS, ultra-performance liquid chromatography–tandem mass spectrometry",Plasma,No,,No,No statement,1 = truly representative of the average patient in the community (any heart failure patient),0 = no description of the derivation of the non-exposed cohort,1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,1 = objective measure (biological specimen used for metabolomics),,Acute HF n=806
4/10/2024 11:57:45,EW,Biomed Pharmacother. 2021 Apr;136:111193. doi: 10.1016/j.biopha.2020.111193. Epub 2021 Jan 5.,33461019,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:32:26,Leise,Biomed Pharmacother. 2021 Apr;136:111193. doi: 10.1016/j.biopha.2020.111193. Epub 2021 Jan 5.,33461019,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/23/2024 9:41:50,EW,CD013496.PUB2,33512717,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 13:38:45,EW,Nutrients. 2021 Jan 27;13(2):387. doi: 10.3390/nu13020387.,33513742,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 17:15:41,YiChan Lee,Nutrients. 2021 Jan 27;13(2):387. doi: 10.3390/nu13020387.,33513742,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:54:57,EW,Curr Heart Fail Rep. 2021 Apr;18(2):23-32. doi: 10.1007/s11897-021-00503-4. Epub 2021 Feb 9.,33559845,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:31:35,Leise,Curr Heart Fail Rep. 2021 Apr;18(2):23-32. doi: 10.1007/s11897-021-00503-4. Epub 2021 Feb 9.,33559845,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:34:54,EW,Cells. 2021 Feb 7;10(2):348. doi: 10.3390/cells10020348.,33562334,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 15:00:48,Leise,Cells. 2021 Feb 7;10(2):348. doi: 10.3390/cells10020348.,33562334,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:13:04,EW,FASEB J. 2021 Mar;35(3):e21385. doi: 10.1096/fj.201903129RRR.,33565193,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
5/24/2024 14:55:07,Leise,FASEB J. 2021 Mar;35(3):e21385. doi: 10.1096/fj.201903129RRR.,33565193,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:19:31,EW,Psychopharmacology (Berl). 2021 Jun;238(6):1401-1415. doi: 10.1007/s00213-021-05784-0. Epub 2021 Feb 16.,33594503,"No, other study not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 13:16:07,Leise,Psychopharmacology (Berl). 2021 Jun;238(6):1401-1415. doi: 10.1007/s00213-021-05784-0. Epub 2021 Feb 16.,33594503,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:31:01,EW,bioRxiv [Preprint]. 2021 Feb 25:2021.02.25.430130. doi: 10.1101/2021.02.25.430130.,33655247,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:58:55,Leise,bioRxiv [Preprint]. 2021 Feb 25:2021.02.25.430130. doi: 10.1101/2021.02.25.430130.,33655247,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:37:57,EW,JACC Basic Transl Sci. 2021 Jan 27;6(2):103-115. doi: 10.1016/j.jacbts.2020.11.010. eCollection 2021 Feb.,33665512,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",,,,,,,,,,,,,,
5/24/2024 15:03:08,Leise,JACC Basic Transl Sci. 2021 Jan 27;6(2):103-115. doi: 10.1016/j.jacbts.2020.11.010. eCollection 2021 Feb.,33665512,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:53:42,EW,Pharmacol Rev. 2021 Apr;73(2):792-827. doi: 10.1124/pharmrev.120.000072.,33687995,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:30:17,Leise,Pharmacol Rev. 2021 Apr;73(2):792-827. doi: 10.1124/pharmrev.120.000072.,33687995,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 14:17:03,EW,Emerg Microbes Infect. 2021 Dec;10(1):545-554. doi: 10.1080/22221751.2021.1901612.,33691598,"No, other study not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 17:25:45,Kiramat Ullah,Emerg Microbes Infect. 2021 Dec;10(1):545-554. doi: 10.1080/22221751.2021.1901612.,33691598,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 16:48:08,EW,Brief Bioinform. 2021 Sep 2;22(5):bbab061. doi: 10.1093/bib/bbab061.,33725119,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargetted metabolomics",,,,,,,,,,,,,,
6/14/2024 23:00:30,Kiramat Ullah,Brief Bioinform. 2021 Sep 2;22(5):bbab061. doi: 10.1093/bib/bbab061.,33725119,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/10/2024 11:17:11,EW,ESC Heart Fail. 2021 Jun;8(3):2103-2110. doi: 10.1002/ehf2.13290. Epub 2021 Mar 18.,33734604,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","patients with symptoms and signs of HF as defined by the Framingham criteria, together with pulmonary congestion on X‐rays or pulmonary hypertension evaluated by Doppler echocardiography as previously described; and (ii) patients with a left ventricular ejection fraction ≥ 50%. ",Japan,"Yes, measures untargetted metabolomics",ultra‐performance liquid chromatography‐quadrupole time‐of‐flight mass spectrometry ,Plasma,No,,No,doesn't seem to be listed,1 = somewhat representative of the average patient in the community (eg only heart failure subtype or specific comorbidities),"0 = drawn from a different source (eg, nonhospitalized controls)",1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),might be targetted metabolomics? ,
5/21/2024 15:28:50,Leise,ESC Heart Fail. 2021 Jun;8(3):2103-2110. doi: 10.1002/ehf2.13290. Epub 2021 Mar 18.,33734604,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)", NYHA class,Japan,"Yes, measures untargeted metabolomics","UPLC–MS/MS, ultra-performance liquid chromatography–tandem mass spectrometry","Plasma, Serum",No,,No,No statement,1 = somewhat representative of the average patient in the community (eg only heart failure subtype or specific comorbidities),0 = no description of the derivation of the non-exposed cohort,1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),,HFpEF n=146
4/10/2024 12:32:53,EW,EXCLI J. 2021 Feb 11;20:301-319. doi: 10.17179/excli2020-3239. eCollection 2021.,33746664,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 15:00:07,Leise,EXCLI J. 2021 Feb 11;20:301-319. doi: 10.17179/excli2020-3239. eCollection 2021.,33746664,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 9:21:41,EW,Cardiovasc Res. 2022 Feb 21;118(3):785-797. doi: 10.1093/cvr/cvab114.,33757127,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"Measures metabolomics, not sure if targetted or untargetted",,,,,,,,,,,,,atrial fibrillation not hf,
5/15/2024 18:13:26,YiChan Lee,Cardiovasc Res. 2022 Feb 21;118(3):785-797. doi: 10.1093/cvr/cvab114.,33757127,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:51:04,EW,Amino Acids. 2021 Apr;53(4):555-561. doi: 10.1007/s00726-021-02969-x. Epub 2021 Mar 31.,33788002,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",,,,,,,,,,,,,,
5/24/2024 14:28:11,Leise,Amino Acids. 2021 Apr;53(4):555-561. doi: 10.1007/s00726-021-02969-x. Epub 2021 Mar 31.,33788002,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:48:50,EW,Circ Res. 2021 Apr 2;128(7):908-933. doi: 10.1161/CIRCRESAHA.121.318052. Epub 2021 Apr 1.,33793336,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:26:08,Leise,Circ Res. 2021 Apr 2;128(7):908-933. doi: 10.1161/CIRCRESAHA.121.318052. Epub 2021 Apr 1.,33793336,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:11:14,EW,Toxins (Basel). 2021 Mar 18;13(3):223. doi: 10.3390/toxins13030223.,33803899,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:54:07,Leise,Toxins (Basel). 2021 Mar 18;13(3):223. doi: 10.3390/toxins13030223.,33803899,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:09:14,EW,Int J Mol Sci. 2021 Mar 29;22(7):3513. doi: 10.3390/ijms22073513.,33805303,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:47:46,Leise,Int J Mol Sci. 2021 Mar 29;22(7):3513. doi: 10.3390/ijms22073513.,33805303,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 12:10:30,EW,Front Med (Lausanne). 2021 Mar 22;8:648259. doi: 10.3389/fmed.2021.648259. eCollection 2021.,33829028,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,is. Aim of the current study was to evaluate the impact of gut-derived metabolites on mitochondrial function in cardiomyocytes via an in vitro screening approach.,
5/24/2024 14:49:15,Leise,Front Med (Lausanne). 2021 Mar 22;8:648259. doi: 10.3389/fmed.2021.648259. eCollection 2021.,33829028,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 13:58:44,EW,Nephron. 2021;145(6):604-608. doi: 10.1159/000515419. Epub 2021 Apr 13.,33849028,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 18:24:09,YiChan Lee,Nephron. 2021;145(6):604-608. doi: 10.1159/000515419. Epub 2021 Apr 13.,33849028,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:47:00,EW,mSystems. 2021 Apr 20;6(2):e00111-21. doi: 10.1128/mSystems.00111-21.,33879495,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
5/24/2024 14:24:25,Leise,mSystems. 2021 Apr 20;6(2):e00111-21. doi: 10.1128/mSystems.00111-21.,33879495,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:43:23,EW,PLoS Biol. 2021 Apr 26;19(4):e3001199. doi: 10.1371/journal.pbio.3001199. eCollection 2021 Apr.,33901179,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,,,,,,,,,,
5/24/2024 14:21:24,Leise,PLoS Biol. 2021 Apr 26;19(4):e3001199. doi: 10.1371/journal.pbio.3001199. eCollection 2021 Apr.,33901179,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 10:47:36,EW,Nature. 2021 Jul;595(7865):107-113. doi: 10.1038/s41586-021-03570-8. Epub 2021 Apr 29.,33915569,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:44:42,Kiramat Ullah,Nature. 2021 Jul;595(7865):107-113. doi: 10.1038/s41586-021-03570-8. Epub 2021 Apr 29.,33915569,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/10/2024 11:45:20,EW,Toxins (Basel). 2021 Apr 22;13(5):297. doi: 10.3390/toxins13050297.,33921975,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:23:11,Leise,Toxins (Basel). 2021 Apr 22;13(5):297. doi: 10.3390/toxins13050297.,33921975,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 15:19:21,EW,Pediatr Crit Care Med. 2021 Nov 1;22(11):e571-e581. doi: 10.1097/PCC.0000000000002746.,33950888,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 18:21:57,Kiramat Ullah,Pediatr Crit Care Med. 2021 Nov 1;22(11):e571-e581. doi: 10.1097/PCC.0000000000002746.,33950888,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/10/2024 11:41:32,EW,Microbiome. 2021 May 7;9(1):104. doi: 10.1186/s40168-021-01052-7.,33962692,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,,,,,,,,,,
5/24/2024 14:20:21,Leise,Microbiome. 2021 May 7;9(1):104. doi: 10.1186/s40168-021-01052-7.,33962692,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 10:23:23,EW,Minerva Med. 2022 Feb;113(1):189-199. doi: 10.23736/S0026-4806.21.07527-3. Epub 2021 May 10.,33969961,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/18/2024 22:13:04,YiChan Lee,Minerva Med. 2022 Feb;113(1):189-199. doi: 10.23736/S0026-4806.21.07527-3. Epub 2021 May 10.,33969961,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:40:34,EW,Trials. 2021 May 10;22(1):338. doi: 10.1186/s13063-021-05287-5.,33971938,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,,,,,,,,,,
5/24/2024 14:19:12,Leise,Trials. 2021 May 10;22(1):338. doi: 10.1186/s13063-021-05287-5.,33971938,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:38:18,EW,Elife. 2021 May 11;10:e66921. doi: 10.7554/eLife.66921.,33972017,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,,,,,,,,,,
5/24/2024 14:17:47,Leise,Elife. 2021 May 11;10:e66921. doi: 10.7554/eLife.66921.,33972017,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 17:11:38,EW,Cardiovasc Toxicol. 2021 Aug;21(8):593-604. doi: 10.1007/s12012-021-09656-z. Epub 2021 May 18.,34003426,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:18:03,Kiramat Ullah,Cardiovasc Toxicol. 2021 Aug;21(8):593-604. doi: 10.1007/s12012-021-09656-z. Epub 2021 May 18.,34003426,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,Review paper: TMAO and CVDs including Heart Failure,
4/10/2024 11:21:00,EW,Curr Hypertens Rep. 2021 May 20;23(5):31. doi: 10.1007/s11906-021-01144-7.,34014393,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 13:17:04,Leise,Curr Hypertens Rep. 2021 May 20;23(5):31. doi: 10.1007/s11906-021-01144-7.,34014393,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/8/2024 17:15:53,EW,JPEN J Parenter Enteral Nutr. 2022 Mar;46(3):660-670. doi: 10.1002/jpen.2193. Epub 2021 Jun 22.,34021600,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",34021600,United States,"Yes, measures untargetted metabolomics","LCMS, liquid chromatography mass spectrometry",Plasma,No,,No,no data availability statement,"0 = selected group of users (eg, volunteers for special therapy, nurses, those living in a specific facilty )",1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),would only use the baseline samples here,
5/15/2024 18:11:06,YiChan Lee,JPEN J Parenter Enteral Nutr. 2022 Mar;46(3):660-670. doi: 10.1002/jpen.2193. Epub 2021 Jun 22.,34021600,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",Left ventricular ejection fraction <45%,USA,"Yes, measures metabolomics, but confused about the type","LC-MS/MS, liquid chromatography tandem mass spectrometry, GC-MS, gas chromatography mass spectrometry","Plasma, Serum",No,,No,,1 = somewhat representative of the average patient in the community (eg only heart failure subtype or specific comorbidities),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,1 = objective measure (biological specimen used for metabolomics),,HF n = 14; healthy control n = 15
4/9/2024 17:19:31,EW,Diabetes Ther. 2021 Jul;12(7):2101-2113. doi: 10.1007/s13300-021-01083-1. Epub 2021 May 26.,34037951,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:41:07,Kiramat Ullah ,Diabetes Ther. 2021 Jul;12(7):2101-2113. doi: 10.1007/s13300-021-01083-1. Epub 2021 May 26.,34037951,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/10/2024 13:55:04,EW,Cell Mol Gastroenterol Hepatol. 2021;12(3):891-920. doi: 10.1016/j.jcmgh.2021.05.010. Epub 2021 May 29.,34062281,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply","GCMS, gas chromatography mass spectrometry",,,,,,,,,,,,,
5/20/2024 17:23:02,YiChan Lee,Cell Mol Gastroenterol Hepatol. 2021;12(3):891-920. doi: 10.1016/j.jcmgh.2021.05.010. Epub 2021 May 29.,34062281,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 11:36:48,EW,Toxins (Basel). 2021 May 19;13(5):361. doi: 10.3390/toxins13050361.,34069405,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 13:17:54,Leise,Toxins (Basel). 2021 May 19;13(5):361. doi: 10.3390/toxins13050361.,34069405,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/24/2024 14:14:29,Leise,Toxins (Basel). 2021 May 19;13(5):361. doi: 10.3390/toxins13050361.,34069405,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 15:18:21,EW,Eur J Clin Pharmacol. 2021 Nov;77(11):1639-1648. doi: 10.1007/s00228-021-03167-0. Epub 2021 Jun 4.,34085115,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
